192.168.1.95.53418 > 91.189.94.4.123 48
192.168.1.95.60964 > 112.49.48.32.443 177

192.168.1.95.60964 > 112.49.48.32.443 281

192.168.1.95.60962 > 112.49.48.32.443 194

192.168.1.95.60960 > 112.49.48.32.443 194

112.49.48.32.443 > 192.168.1.95.60964 258

112.49.48.32.443 > 192.168.1.95.60964 69

112.49.48.32.443 > 192.168.1.95.60962 258

112.49.48.32.443 > 192.168.1.95.60962 69

112.49.48.32.443 > 192.168.1.95.60962 38

112.49.48.32.443 > 192.168.1.95.60964 38

192.168.1.95.60964 > 112.49.48.32.443 38

192.168.1.95.60962 > 112.49.48.32.443 31

112.49.48.32.443 > 192.168.1.95.60964 298

112.49.48.32.443 > 192.168.1.95.60960 258

112.49.48.32.443 > 192.168.1.95.60960 69

112.49.48.32.443 > 192.168.1.95.60960 38

192.168.1.95.60960 > 112.49.48.32.443 31

192.168.1.95.60964 > 112.49.48.32.443 134

192.168.1.95.60964 > 112.49.48.32.443 148

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 5360

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 5360

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 2680

112.49.48.32.443 > 192.168.1.95.60964 13400

112.49.48.32.443 > 192.168.1.95.60964 2726

192.168.1.95.60964 > 112.49.48.32.443 152

192.168.1.95.60964 > 112.49.48.32.443 146

112.49.48.32.443 > 192.168.1.95.60964 297

192.168.1.95.60964 > 112.49.48.32.443 143

192.168.1.95.60964 > 112.49.48.32.443 148

112.49.48.32.443 > 192.168.1.95.60964 297

112.49.48.32.443 > 192.168.1.95.60964 298

112.49.48.32.443 > 192.168.1.95.60964 299

192.168.1.95.40954 > 183.232.231.172.443 569

192.168.1.95.60964 > 112.49.48.32.443 156

192.168.1.95.40958 > 183.232.231.172.443 754

112.49.48.32.443 > 192.168.1.95.60964 288

183.232.231.172.443 > 192.168.1.95.40954 197

183.232.231.172.443 > 192.168.1.95.40958 352

192.168.1.95.40316 > 117.185.17.208.80 645
117.185.17.208.80 > 192.168.1.95.40316 4096
117.185.17.208.80 > 192.168.1.95.40316 1
117.185.17.208.80 > 192.168.1.95.40316 4096
117.185.17.208.80 > 192.168.1.95.40316 4356
117.185.17.208.80 > 192.168.1.95.40316 2904
117.185.17.208.80 > 192.168.1.95.40316 2904
117.185.17.208.80 > 192.168.1.95.40316 2904
117.185.17.208.80 > 192.168.1.95.40316 1328
192.168.1.95.47908 > 112.49.51.35.80 309
192.168.1.95.53328 > 111.13.100.118.443 517

112.49.51.35.80 > 192.168.1.95.47908 1234
192.168.1.95.47908 > 112.49.51.35.80 324
111.13.100.118.443 > 192.168.1.95.53328 68

111.13.100.118.443 > 192.168.1.95.53328 3560

111.13.100.118.443 > 192.168.1.95.53328 338

111.13.100.118.443 > 192.168.1.95.53328 9

192.168.1.95.53328 > 111.13.100.118.443 126

192.168.1.95.55794 > 183.218.12.241.80 472
183.218.12.241.80 > 192.168.1.95.55794 2362
111.13.100.118.443 > 192.168.1.95.53328 119

111.13.100.118.443 > 192.168.1.95.53328 6

111.13.100.118.443 > 192.168.1.95.53328 45

112.49.51.35.80 > 192.168.1.95.47908 977
192.168.1.95.41994 > 112.49.51.48.80 305
192.168.1.95.47908 > 112.49.51.35.80 328
112.49.51.48.80 > 192.168.1.95.41994 2625
112.49.51.48.80 > 192.168.1.95.41994 5
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 7968
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 3984
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 9296
112.49.51.35.80 > 192.168.1.95.47908 5312
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
192.168.1.95.33522 > 112.49.48.48.80 565
192.168.1.95.33520 > 112.49.48.48.80 565
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 3984
112.49.51.35.80 > 192.168.1.95.47908 5312
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 1328
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 2656
112.49.51.35.80 > 192.168.1.95.47908 274
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 70
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2680
112.49.48.48.80 > 192.168.1.95.33522 2512
112.49.48.48.80 > 192.168.1.95.33522 7928
112.49.48.48.80 > 192.168.1.95.33522 280
112.49.48.48.80 > 192.168.1.95.33522 26800
112.49.48.48.80 > 192.168.1.95.33522 8040
112.49.48.48.80 > 192.168.1.95.33522 1146
192.168.1.95.33520 > 112.49.48.48.80 565
192.168.1.95.33524 > 112.49.48.48.80 565
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33524 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33524 332
112.49.48.48.80 > 192.168.1.95.33520 5360
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 2680
112.49.48.48.80 > 192.168.1.95.33520 1114
192.168.1.95.40314 > 117.185.17.208.80 666
192.168.1.95.40316 > 117.185.17.208.80 617
192.168.1.95.39964 > 112.49.48.48.443 517

192.168.1.95.39962 > 112.49.48.48.443 517

192.168.1.95.40342 > 117.185.17.208.80 643
192.168.1.95.39972 > 112.49.48.48.443 517

192.168.1.95.39970 > 112.49.48.48.443 517

192.168.1.95.39968 > 112.49.48.48.443 517

192.168.1.95.39966 > 112.49.48.48.443 517

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 1248

112.49.48.48.443 > 192.168.1.95.39972 1340

112.49.48.48.443 > 192.168.1.95.39964 1248

112.49.48.48.443 > 192.168.1.95.39964 2680

112.49.48.48.443 > 192.168.1.95.39972 2588

112.49.48.48.443 > 192.168.1.95.39970 2680

112.49.48.48.443 > 192.168.1.95.39970 1248

112.49.48.48.443 > 192.168.1.95.39968 1340

192.168.1.95.39962 > 112.49.48.48.443 126

192.168.1.95.39972 > 112.49.48.48.443 126

112.49.48.48.443 > 192.168.1.95.39968 2588

192.168.1.95.39970 > 112.49.48.48.443 126

112.49.48.48.443 > 192.168.1.95.39966 2680

112.49.48.48.443 > 192.168.1.95.39966 1248

112.49.48.48.443 > 192.168.1.95.39962 258

112.49.48.48.443 > 192.168.1.95.39962 69

117.185.17.208.80 > 192.168.1.95.40342 370
192.168.1.95.39968 > 112.49.48.48.443 126

192.168.1.95.39964 > 112.49.48.48.443 126

192.168.1.95.39962 > 112.49.48.48.443 177

192.168.1.95.39962 > 112.49.48.48.443 397

192.168.1.95.39962 > 112.49.48.48.443 162

192.168.1.95.39962 > 112.49.48.48.443 38

192.168.1.95.39972 > 112.49.48.48.443 194

192.168.1.95.39970 > 112.49.48.48.443 194

192.168.1.95.39968 > 112.49.48.48.443 194

192.168.1.95.39966 > 112.49.48.48.443 126

192.168.1.95.39964 > 112.49.48.48.443 194

192.168.1.95.39962 > 112.49.48.48.443 163

192.168.1.95.39962 > 112.49.48.48.443 162

112.49.48.48.443 > 192.168.1.95.39972 258

112.49.48.48.443 > 192.168.1.95.39972 69

192.168.1.95.39962 > 112.49.48.48.443 162

112.49.48.48.443 > 192.168.1.95.39970 258

112.49.48.48.443 > 192.168.1.95.39970 69

112.49.48.48.443 > 192.168.1.95.39968 258

112.49.48.48.443 > 192.168.1.95.39968 69

192.168.1.95.39962 > 112.49.48.48.443 163

192.168.1.95.39966 > 112.49.48.48.443 194

192.168.1.95.48582 > 112.34.111.235.80 537
112.49.48.48.443 > 192.168.1.95.39962 38

112.49.48.48.443 > 192.168.1.95.39972 38

112.49.48.48.443 > 192.168.1.95.39970 38

112.49.48.48.443 > 192.168.1.95.39962 10720

112.49.48.48.443 > 192.168.1.95.39962 2680

192.168.1.95.43156 > 111.13.105.118.443 517

192.168.1.95.39968 > 112.49.48.48.443 31

192.168.1.95.39970 > 112.49.48.48.443 31

112.49.48.48.443 > 192.168.1.95.39962 2680

192.168.1.95.39972 > 112.49.48.48.443 31

192.168.1.95.39962 > 112.49.48.48.443 163

192.168.1.95.39962 > 112.49.48.48.443 162

112.49.48.48.443 > 192.168.1.95.39968 38

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39966 258

112.49.48.48.443 > 192.168.1.95.39966 69

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39966 38

112.49.48.48.443 > 192.168.1.95.39962 1340

192.168.1.95.39966 > 112.49.48.48.443 31

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39964 258

112.49.48.48.443 > 192.168.1.95.39964 69

112.49.48.48.443 > 192.168.1.95.39964 38

112.49.48.48.443 > 192.168.1.95.39962 2680

192.168.1.95.39964 > 112.49.48.48.443 31

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 4020

112.49.48.48.443 > 192.168.1.95.39962 1340

112.49.48.48.443 > 192.168.1.95.39962 1340

112.49.48.48.443 > 192.168.1.95.39962 1340

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

111.13.105.118.443 > 192.168.1.95.43156 68

111.13.105.118.443 > 192.168.1.95.43156 3560

112.49.48.48.443 > 192.168.1.95.39962 40200

111.13.105.118.443 > 192.168.1.95.43156 338

111.13.105.118.443 > 192.168.1.95.43156 9

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

192.168.1.95.43156 > 111.13.105.118.443 126

192.168.1.95.43156 > 111.13.105.118.443 737

112.34.111.235.80 > 192.168.1.95.48582 349
112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 5360

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 10720

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

112.49.48.48.443 > 192.168.1.95.39962 2680

